KEY,TEXT
PR_30.11.2025_TITLE,SLMCC UK & COSMOS UK – Sri Lanka Flood Emergency Appeal
PR_30.11.2025_CONTENT,"*COSMOS UK Update – Sri Lanka Flood Emergency Meeting at SLMCC Harrow on 29.11.2025*

An urgent community gathering was held at SLMCC, jointly organised by SLMCC UK and COSMOS UK as part of the Sri Lanka Flood Emergency Appeal.

Key points from the programme:

*Muslim Aid Country Director – Br. Faizer Khan* attended the meeting and explained how Muslim Aid responds during major disasters and how they will support relief efforts in this crisis, referencing their extensive past experience.

*Updates from All Ceylon Jamiyathul Ulama (ACJU)*

ACJU leadership joined via Zoom, and messages were shared by:
• As-Sheikh Rizvi Mufti – President, ACJU
• As-Sheikh Abdul Kalik – Vice President, ACJU
• As-Sheikh Arkam Nooramith – General Secretary, ACJU

Ulamas provided firsthand accounts of the situation on the ground, detailed ACJU’s active role in relief operations with Muslim Aid, and reminded the community of the Islamic responsibility to support those in need during this devastating period.

*COSMOS UK Engagements*
*Shakeer Nawas* 
 President of COSMOS UK, explained efforts to raise awareness across non–Sri Lankan organisations, UK charities, media, and others on the Help Sri Lanka Project and Cyclone Ditwa effects in Sri Lanka.
 He highlighted engagement with other Sri Lankan faith groups, the Sri Lankan High Commission in London, and civil society organisations.

Shakeer also briefed the gathering on the efforts of other COSMOS UK affiliates such as Masjid Al Jannah (Slough), SLMC Eastham Mosque, SL Kingsbury Mosque, SLIF (BMS) & Team, GWA, Interbuild, as well as members from the North including SLICAM, SL Bolton Mosques, Leicester SLM members, Masjid Al Furqan - Luton and various WhatsApp groups who are supporting fundraising efforts.
He thanked all contributors and emphasised the importance of continuing support, particularly in rebuilding livelihoods and properties after the relief phase.
*He also highlighted the dedicated direct bank account details shared by the Sri Lanka High Commission in London for donations to the Central Bank of Sri Lanka.*

*Community Q&A – Moderated by Br. Arshath Ibrahim (Trustee, SLMCC)*

A productive Q&A session was held with Mr. Faizer Khan, Mr. Shakeer Nawas, and Mr. Segu Razeen (President, SLMCC), focusing on:
• How the community can assist with fundraising
• How donations will reach those in desperate need
• Ensuring transparency and effective distribution
• Addressing various concerns and questions raised by attendees

The gathering brought together affiliates, community members, and partner organisations to strengthen a unified and effective response to the crisis.

*An overall target of £100,000+ is aimed to be raised by UK organisations in this disaster*
Please use the following link for SLMCC Harrow – Help Sri Lanka Fundraising:

*https://www.slmcc.co.uk/helpSriLanka*

Imam Thalha, Mufti Fahad, Sheikh Ibrahim, and Sheikh Anas from SLMCC also contributed to the event, along with other community leaders and members.

May Allah protect everyone and accept all efforts in this regard.

We thank all those who attended this emergency meeting at very short notice.

*COSMOS UK MEDIA*"
